X;Y;STD
0.000000;8.639999;1.062145
0.630000;10.023300;0.665145
1.260000;10.185000;0.535809
1.890000;10.298235;0.333889
2.520000;10.368749;0.239149
3.150000;10.417211;0.192432
3.780000;10.452453;0.173736
4.410000;10.486388;0.179667
5.040000;10.490277;0.178759
5.670000;10.459908;0.185147
6.300000;10.411874;0.171598
6.930000;10.436250;0.120146
7.560000;10.426316;0.102104
8.190000;10.396810;0.351227
8.820000;10.463793;0.139980
9.450000;10.402118;0.763280
10.079999;10.498220;0.821445
10.710000;10.822118;0.921650
11.340000;11.297631;0.837203
11.969999;11.153534;1.551783
12.600000;11.470345;1.664691
13.229999;11.584396;1.673811
13.859999;11.380249;1.918668
14.489999;11.200000;2.164187
15.120000;11.005615;2.377156
15.750000;10.821363;2.461645
16.380000;10.501615;2.565660
17.009999;10.640000;2.441986
17.639999;11.036136;2.269445
18.269999;11.588769;1.887266
18.900000;11.965154;1.310208
19.530000;12.016135;0.677561
20.159999;11.808461;0.546703
20.789999;11.553230;0.621043
21.419999;11.077499;0.646036
22.049999;10.745538;0.660305
22.679999;10.372384;0.887234
23.310000;10.329772;0.649785
23.939998;10.348154;0.517030
24.569999;10.225384;0.723184
25.200000;10.251817;0.717905
25.829998;9.988333;1.118514
26.459998;9.965948;1.466540
27.089998;10.220000;1.033890
27.719998;10.414687;0.370244
28.349999;10.446692;0.265063
28.979999;10.322308;0.347473
29.609999;10.047692;0.628094
30.239999;10.055085;0.949704
30.870000;10.085250;1.137108
31.500000;10.350245;0.810314
32.130000;10.454062;0.740807
32.760000;10.496818;0.360490
33.389997;10.484328;0.388347
34.019998;10.498409;0.402325
34.649998;10.442727;0.428345
35.279998;10.375909;0.535364
35.909998;10.350455;0.577730
36.539999;10.409104;0.450575
37.169999;10.452273;0.504945
37.799999;10.452273;0.516717
38.429999;10.501567;0.413488
39.060000;10.507955;0.355976
39.690000;10.477727;0.332797
40.319997;10.471791;0.319699
40.949997;10.460227;0.344261
41.579998;10.445908;0.350753
42.209998;10.401268;0.428874
42.839998;10.383863;0.639513
43.469998;10.411154;0.599718
44.099998;10.375909;0.722599
44.729999;10.514538;0.698898
45.359999;10.665455;0.520862
45.989999;10.757726;0.451138
46.619999;10.733863;0.450993
47.250000;10.668636;0.394511
47.879997;10.538182;0.383237
48.509997;10.443462;0.344113
49.139997;10.342500;0.322031
49.769998;10.335231;0.275633
50.400001;10.370390;0.236062
51.029998;10.413333;0.193990
51.659995;10.416666;0.164314
52.289999;10.396667;0.193943
52.919996;10.415000;0.218864
53.549999;10.426667;0.258972
54.179996;10.444999;0.281165
54.809999;10.498332;0.268199
55.439997;10.509843;0.286184
56.070000;10.511667;0.384813
56.699997;10.495000;0.381783
57.330000;10.416327;0.462618
57.959998;10.427704;0.455320
58.590001;10.413629;0.341809
59.219998;10.437656;0.401856
59.849995;10.532812;0.323032
60.479999;10.580769;0.289904
61.109996;10.629609;0.291565
61.739999;10.672846;0.278970
62.369996;10.685769;0.288732
63.000000;10.662422;0.301549
63.629997;10.617923;0.347760
64.260000;10.548461;0.366548
64.889997;10.403334;0.519565
65.520000;10.398333;1.117336
66.149998;10.716461;0.458564
66.779995;10.769062;0.568140
67.409998;10.823076;0.420537
68.039995;10.869923;0.321182
68.669999;10.926562;0.291053
69.299996;10.981385;0.285855
69.929999;10.981385;0.313043
70.559996;10.923281;0.311131
71.190000;10.755230;0.323217
71.819997;10.595307;0.249650
72.450000;10.577109;0.183038
73.079997;10.580769;0.177380
73.709995;10.558154;0.187845
74.339998;10.583671;0.193948
74.969995;10.621154;0.204456
75.599998;10.666385;0.215483
76.229995;10.751015;0.268737
76.859999;10.899000;0.334674
77.489996;11.115462;0.401354
78.119999;11.305547;0.531216
78.749996;11.327077;0.639489
79.380000;11.461154;0.763685
80.009997;11.441769;0.725353
80.639994;11.585538;0.856649
81.269997;11.905384;1.216538
81.899995;12.554769;1.402808
82.529998;12.853615;1.246998
83.159995;13.023230;1.229334
83.789998;13.071692;1.355724
84.419996;13.141154;1.299265
85.049999;13.152461;1.163894
85.679996;13.084616;1.133981
86.309999;13.076538;1.019027
86.939996;12.921461;1.060428
87.570000;12.672691;1.116231
88.199997;12.507923;1.062446
88.829994;12.044308;1.255645
89.459997;12.012000;1.226823
90.089995;11.996250;1.181396
90.719998;11.881153;1.149070
91.349995;11.764845;1.081583
91.979998;11.667923;0.995181
92.609996;11.671153;0.960087
93.239999;11.635312;0.910817
93.869996;11.640234;0.930463
94.499999;11.645156;0.906427
95.129997;11.617265;0.872268
95.759994;11.572968;0.867337
96.389997;11.516666;0.881440
97.019994;11.362968;0.895673
97.649997;11.151667;0.924905
98.279995;10.911666;0.916004
98.909998;10.778906;0.860708
99.539995;10.663333;1.006041
100.169992;10.796666;0.485897
100.800002;10.760859;0.803951
101.429999;10.883333;0.444750
102.059996;11.116666;0.516596
102.689993;11.391667;0.520097
103.319991;11.628333;0.562171
103.950000;11.906666;0.583424
104.579997;12.043332;0.602353
105.209994;12.059999;0.662992
105.839992;11.923333;0.695175
106.470001;11.818333;0.828835
107.099998;11.530312;0.907406
107.729995;11.228437;0.669986
108.359993;11.020000;0.600257
108.990002;10.926562;0.613058
109.619999;10.801875;0.423065
110.249996;10.831666;0.440424
110.879993;10.805156;0.377087
111.509991;10.785469;0.340476
112.140000;10.824999;0.381904
112.769997;10.841250;0.464410
113.399994;10.800234;0.513343
114.029992;10.803333;0.650267
114.660001;10.665703;0.738695
115.289998;10.660781;0.739665
115.919995;10.874062;0.853201
116.549993;11.021718;0.877506
117.180002;11.315390;0.920200
117.809999;11.372812;0.907786
118.439996;11.467969;0.741410
119.069993;11.415468;0.689648
119.699991;11.287500;0.666926
120.330000;11.070937;0.560815
120.959997;10.856015;0.280652
121.589994;10.719843;0.192646
122.219992;10.655859;0.142565
122.850001;10.637812;0.121539
123.479998;10.646015;0.132058
124.109995;10.654218;0.155262
124.739993;10.639453;0.165036
125.369990;10.650230;0.174690
125.999999;10.640538;0.172059
126.629996;10.653462;0.151953
127.259994;10.670228;0.175070
127.889991;10.666385;0.184069
128.520000;10.687384;0.174242
129.149997;10.673408;0.199820
129.779994;10.590681;0.604524
130.409992;10.533409;0.361494
131.040001;10.487272;0.464042
131.669998;10.568409;0.603598
132.299995;10.609773;0.519055
132.929993;10.695895;0.452773
133.559990;10.731940;0.359429
134.189999;10.759318;0.297112
134.819996;10.747612;0.228544
135.449994;10.733507;0.216821
136.079991;10.700454;0.209798
136.710000;10.670821;0.187489
137.339997;10.634776;0.173805
137.969995;10.601818;0.177191
138.599992;10.584626;0.185223
139.230001;10.600298;0.183611
139.859998;10.609773;0.201410
140.489995;10.649545;0.181935
141.119993;10.670821;0.188365
141.749990;10.705227;0.211143
142.379999;10.754545;0.247988
143.009996;10.786791;0.310296
143.639994;10.811865;0.322991
144.269991;10.804030;0.370512
144.900000;10.719403;0.508512
145.529997;10.662985;0.491586
146.159995;10.653581;0.584289
146.789992;10.473358;0.846700
147.419989;9.761865;1.273121
148.049998;10.260224;1.247244
148.679996;10.785224;0.671918
149.309993;10.891791;0.481875
149.939990;10.926268;0.394500
150.569999;10.926268;0.329996
151.199996;10.923088;0.206868
151.829994;10.916865;0.157099
152.459991;10.877686;0.165331
153.090000;10.862867;0.153280
153.719997;10.843208;0.158777
154.349995;10.835373;0.132360
154.979992;10.847426;0.131421
155.609989;10.979552;0.369228
156.239998;11.068235;0.453494
156.869996;11.136176;0.608235
157.499993;11.218014;0.711375
158.129990;11.179411;0.713843
158.759999;11.199485;0.766445
159.389997;11.278235;0.746866
160.019994;11.492867;0.755549
160.649991;11.648823;0.726318
161.279988;11.766087;0.835787
161.909997;11.915217;0.855191
162.539995;12.288043;0.740303
163.169992;12.770435;0.808810
163.799989;12.817608;1.258645
164.429998;12.890652;1.298615
165.059996;12.884565;1.292317
165.689993;12.796304;1.175213
166.319990;12.522390;1.262361
166.949999;12.000883;1.273444
167.579997;11.313750;0.878008
168.209994;11.082132;0.523581
168.839991;11.069130;0.576889
169.469988;10.967867;0.341407
170.099998;10.906103;0.279501
170.729995;10.956521;0.373629
171.359992;10.919999;0.337291
171.989989;10.873676;0.242524
172.619998;10.895652;0.219794
173.249996;10.939782;0.218400
173.879993;10.960147;0.228500
174.509990;10.991521;0.253119
175.139999;11.020434;0.268412
175.769997;11.061521;0.281427
176.399994;11.098044;0.378489
177.029991;11.058478;0.405482
177.659988;11.056956;0.391379
178.289998;10.973999;0.412725
178.919995;10.933695;0.332968
179.549992;10.985435;0.331112
180.179989;11.028043;0.379629
180.809999;11.067609;0.317425
181.439996;11.251739;0.373525
182.069993;11.368912;0.355691
182.699990;11.528695;0.444961
183.329988;11.670440;0.296592
183.959997;11.838750;0.403612
184.589994;12.048750;0.400385
185.219991;12.062646;0.342384
185.849988;12.073455;0.334239
186.479998;11.907313;0.525803
187.109995;11.702015;0.659174
187.739992;11.444999;0.691750
188.369989;11.390909;0.683966
188.999999;11.208358;0.590730
189.629996;11.117463;0.473588
190.259993;11.009091;0.369301
190.889990;10.934317;0.286046
191.519988;10.893358;0.286459
192.149997;10.857954;0.279002
192.779994;10.850000;0.288607
193.409991;10.840454;0.314502
194.039989;10.772046;0.375463
194.669998;10.714772;0.392203
195.299995;10.673408;0.424161
195.929992;10.595454;0.642275
196.559989;10.544545;0.717770
197.189999;10.573182;0.615239
197.819996;10.660682;0.274911
198.449993;10.681363;0.245602
199.079990;10.700454;0.216074
199.709988;10.700454;0.257680
200.339985;10.703636;0.250545
200.969982;10.724317;0.243799
201.600003;10.706817;0.271094
202.230000;10.713182;0.253245
202.859998;10.724317;0.234010
203.489995;10.711591;0.242135
204.119992;10.693846;0.217331
204.749990;10.664769;0.232230
205.379987;10.643182;0.262094
206.009984;10.659090;0.317766
206.639981;10.671230;0.301282
207.270002;10.698863;0.373765
207.900000;10.703636;0.402904
208.529997;10.745538;0.404475
209.159994;10.819846;0.391774
209.789991;10.846818;0.413571
210.419989;10.881230;0.422247
211.049986;10.823076;0.481111
211.679983;10.802077;0.523710
212.310004;10.706769;0.733260
212.940001;10.504922;1.057590
213.569999;9.952623;1.725860
214.199996;10.434622;1.566621
214.829993;10.640625;1.085634
215.459991;10.971610;0.427664
216.089988;10.865077;0.574554
216.719985;11.090624;0.566812
217.349982;11.092265;0.567682
217.980003;11.110615;0.555882
218.610001;11.077499;0.407510
219.239998;11.107031;0.393955
219.869995;11.107031;0.393080
220.499992;11.042769;0.438412
221.129990;11.012077;0.411230
221.759987;10.978153;0.440891
222.389984;11.000390;0.414111
223.019981;10.982344;0.430419
223.650002;11.012077;0.393095
224.280000;11.072578;0.388877
224.909997;11.141484;0.410927
225.539994;11.226923;0.406573
226.169991;11.243076;0.334752
226.799989;11.321953;0.287287
227.429986;11.344846;0.321901
228.059983;11.412692;0.357110
228.689981;11.476172;0.365469
229.320002;11.507344;0.340603
229.949999;11.492578;0.377640
230.579996;11.412187;0.344703
231.209993;11.379375;0.332298
231.839991;11.367890;0.358119
232.469988;11.338359;0.433122
233.099985;11.374453;0.493910
233.729982;11.405624;0.476313
234.360003;11.435156;0.364071
234.990001;11.428593;0.353264
235.619998;11.403984;0.351993
236.249995;11.333333;0.328793
236.879992;11.330000;0.292060
237.509990;11.298984;0.341057
238.139987;11.292422;0.428900
238.769984;11.295703;0.387934
239.399981;11.285859;0.432126
240.030003;11.318672;0.401196
240.660000;11.323845;0.380253
241.289997;11.305547;0.423291
241.919994;11.306076;0.403981
242.549992;11.281846;0.468868
243.179989;11.254384;0.541034
243.809986;11.267307;0.558323
244.439983;11.312954;0.509601
245.069981;11.367461;0.508855
245.700002;11.399768;0.549462
246.329999;11.360681;0.575756
246.959996;11.401384;0.495541
247.589993;11.390077;0.524878
248.219991;11.381363;0.460922
248.849988;11.427230;0.421027
249.479985;11.461154;0.426503
250.109982;11.429091;0.494599
250.739980;11.312538;0.530066
251.370001;11.268923;0.443617
251.999998;11.287500;0.417307
252.629995;11.292273;0.458841
253.259993;11.369076;0.458795
253.889990;11.440226;0.416983
254.519987;11.457727;0.418202
255.149984;11.449845;0.445651
255.779982;11.406817;0.473352
256.410003;11.419153;0.502395
257.040000;11.556562;0.537284
257.669997;11.707500;0.633817
258.299994;11.924999;0.693149
258.929992;12.064838;0.717044
259.559989;12.305322;0.756420
260.189986;12.496721;0.858826
260.819983;12.902749;0.994845
261.449981;13.103643;1.031107
262.080002;13.336779;1.029415
262.709999;13.508792;0.990490
263.339996;13.723683;0.970145
263.969994;13.845000;0.755447
264.599991;13.824375;0.617127
265.229988;13.598454;0.936765
265.859985;13.441944;1.052806
266.489983;13.061602;1.180800
267.119980;12.685187;1.258691
267.750001;12.199285;1.732314
268.379998;10.231973;3.288495
